ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
hml_0001,mcmandarin,ok hǎo le ké,#	ok	hǎo	le	ké,#	ok	good	ASP	oh,"Ok, good, ai.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,0,4031,#nc	nc	nc	nc	nc,ok 好 了 咳,hml,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅
hml_0002,mcmandarin,è long long ago,#	è	long	long	ago,#	oh	long	long	ago,"Eh, long long ago...",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,4031,6157,#nc	nc	nc	nc	nc,呃 long long ago,hml,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅
hml_0003,mcmandarin,g hē bié bié chědàn lái wǒ gěi nǐ nòng,#	g	hē	ZERO	bié	bié	chědàn	#	ZERO	lái	#	wǒ	gěi	nǐ	nòng,#	yes	ha	0_you	stop	stop	joke	#	0_you	come	#	1SG	give/ADP	2SG	make,"Ok, ha, stop talking nonsense, come, I will take care of it for you.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,6157,8888,##	other	other	0.2:s	lv	lv	v:pred	##	0.2:s	v:pred	##	pro.1:s	adp	pro.2:obl	v:pred,嗯 呵 别 别 扯淡 来 我 给 你 弄,hml,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
hml_0004,mcmandarin,gěi gěi nǐ shuō yī gè nà gè shenme gǔdài díyīgè zé biǎoxiàn yī gè,#	ZERO	gěi	gěi	nǐ	shuō	yī	gè	nà	gè	shenme	gǔdài	díyīgè	zé	biǎoxiàn	yī	gè,#	0_I	give/ADP	give/ADP	2SG	say	one	CL	that	CL	what	ancient_time	first	oh	display	one	CL,"I will tell you an old story, representing",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,8888,15126,##	0.1:a	adp	nc	pro.2:g	v:pred	ln	ln	ln	ln	pro:p	nc	nc	nc	nc	nc	nc,给 给 你 说 一 个 那 个 什么 古代 的 一 个 啧 表现 一 个,hml,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
hml_0005,mcmandarin,yīnwéi xiànzài wǒmén dou zhīdào hā nà gè shìjiè shàng qiángdiào zhè nán nǚ píngděng,#	yīnwéi	xiànzài	wǒmén	dou	zhīdào	#	hā	nà	gè	shìjiè	shàng	ZERO	qiángdiào	zhè	nán	nǚ	píngděng,#	because	now	1PL	all	know	#	ha	that	CL	world	on	0_we	emphasise	this	man	woman	equality,"because now we all know, we emphasise the equality of men and women in this world.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,15126,18998,##	other	other	pro.1:s	other	v:pred	##	other	ln	ln	np:l	adp	0.1:a	v:pred	ln	ln	ln	np:p,因为 现在 我们 都 知道 哈 那 个 世界 上 强调 这 男 女 平等,hml,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
hml_0006,mcmandarin,g dànshì zài zài gǔdài deshíhòu yóu yóuqí shì zhōngguó fēngjiàn shèhuì deshíhòu,#	g	dànshì	zài	zài	gǔdài	deshíhòu	yóu	yóuqí	shì	zhōngguó	fēngjiàn	shèhuì	deshíhòu,#	yes	but	in	in	ancient_time	when	NC	especially	COP	China	feudal	society	when,"Yes. But, in ancient times, especially in Chinese Feudal society,",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,18998,23815,##	other	other	adp	adp	np:other	adp	nc	other	other	ln	ln	np:other	other,嗯 但是 在 在 古代 的 时候 尤 尤其 是 中国 封建 社会 的 时候,hml,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
hml_0007,mcmandarin,qíshí nǚxìng shì hěn shòu nà gè qíshì de,qíshí	nǚxìng	shì	hěn	shòu	nà	gè	qíshì	=de,actually	woman	COP	very	suffer	that	CL	discrimination	=MOD,girls were actually discriminated.,en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,23815,25813,other	np.h:a	other	other	v:pred	ln	ln	np:p	=other,其实 女性 是 很 受 那 个 歧视 的,hml,∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅
hml_0008,mcmandarin,dànshì ā zài gǔdài chūxiàn le yī míng bǐjiào qínǚzǐ bā yīnggāi shuō jiù shì,#	dànshì	ā	zài	gǔdài	chūxiàn	le	yī	míng	bǐjiào	qínǚzǐ	bā	#	ZERO	yīnggāi	shuō	jiù	shì,#	but	oh	in	ancient_time	appear	ASP	one	CL	comparatively	strange_woman	MP	#	0_I	should	say	ADV	COP,"But, ah, in ancient times there was a relatively remarkable woman, that's what she should be called.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,25813,32161,##	other	other	adp	np:other	v:pred	rv	ln	ln	ln	np.h:s	other	##	0.1:s_ds	other	v:pred	other	other,但是 啊 在 古代 出现 了 一 名 比较 奇女子 吧 应该 说 就 是,hml,∅	∅	∅	∅	1008	∅	∅	∅	∅	∅	1001	∅	∅	1001	∅	∅	∅	∅,∅	∅	∅	∅	1008	∅	∅	∅	∅	∅	1001	∅	∅	1001	∅	∅	∅	∅,∅	∅	∅	∅	new	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅
hml_0009,mcmandarin,g tā de gùshì ne jiù zhèngmíng le yī diǎn jiù shì ā jīnguó bù ràng xūméi,#	g	tā	=de	gùshì	ne	ZERO	jiù	zhèngmíng	le	yī	diǎn	#	jiù	shì	ā	jīnguó	bù	ràng	xūméi,#	yes	3SG	=MOD	story	MP	0_it	ADV	prove	ASP	one	little	#	ADV	COP	MP	woman_with_manly_spirit	NEG	let	woman_with_manly_spirit,"Yes, her story, it proved one thing, namely that women are a match for men.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,32161,37665,##	other	ln_pro.h:poss	=ln	np:dt_a	other	dt_0:a	other	v:pred	rv	ln	np:p	##	other	other	other	np:a	lv	v:pred	np:p,嗯 她 的 故事 呢 就 证明 了 一点 就是 啊 巾帼 不 让 须眉,hml,∅	∅	1001	∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1187	∅	∅	1187,∅	∅	1001	∅	1002	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1187	∅	∅	1187,∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅
hml_0010,mcmandarin,ā nǚháizǐ tóngyàng kěyǐ bàndào bǐ nánháizǐ gēng hǎo de shìqíng,#	ā	nǚháizǐ	tóngyàng	kěyǐ	bàndào	bǐ	nánháizǐ	gēng	hǎo	=de	shìqíng,#	MP	girl	also	can	do	COMP	boy	more	good	=MOD	thing,"Ah, girls can do stuff better than boys as well.",en,MORPHEME_ALIGNED,,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,,37665,41888,##	other	np.h:a	other	lv	v:pred	adp	np.h:obl	ln	ln	=ln	np:p,啊 女孩子 同样 可以 办到 比 男孩子 更 好 的 事情,hml,∅	∅	1054	∅	∅	∅	∅	1183	∅	∅	∅	1188,∅	∅	1054	∅	∅	∅	∅	1183	∅	∅	∅	1188,∅	∅	new	∅	∅	∅	∅	new	∅	∅	∅	new
